Compound Score,Date,Negative Score,Neurtal Score,Positive Score,Tweet Text,Tweets Ago,Username
0.0,Tue Jul 31 05:25:52 +0000 2018,0.0,1.0,0.0,Andy Murray beats Mackenzie McDonald in Washington Open https://t.co/qqYsDkNXrJ,0,@BBCNews
-0.765,Tue Jul 31 05:16:07 +0000 2018,0.485,0.515,0.0,IS claims fatal Tajik attack on foreign cyclists https://t.co/2lKyjvwf11,0,@BBCNews
0.0,Tue Jul 31 03:48:56 +0000 2018,0.0,1.0,0.0,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/ceJLq1c6Y3,0,@BBCNews
-0.1431,Tue Jul 31 03:06:20 +0000 2018,0.064,0.936,0.0,RT @SallyBundockBBC: As the UK prepares to leave the EU how will this affect holidaymakers? What puts you off going abroad? Send your comme…,0,@BBCNews
0.0,Tue Jul 31 02:39:02 +0000 2018,0.0,1.0,0.0,"North Korea 'working on new missiles', US officials say https://t.co/6rKcNLDBKo",0,@BBCNews
-0.4215,Tue Jul 31 02:04:38 +0000 2018,0.237,0.763,0.0,Corrie Mckeague: Airman 'somewhere in Suffolk waste disposal system' https://t.co/MlWRfqjBvg,0,@BBCNews
-0.6808,Tue Jul 31 01:49:27 +0000 2018,0.384,0.616,0.0,Tom Watson accuses NEC member of being a 'loud mouthed bully' https://t.co/G2ecGupaHu,0,@BBCNews
0.0,Tue Jul 31 01:22:50 +0000 2018,0.0,1.0,0.0,Would you quote Rick Astley in your out-of-office? https://t.co/TWob9qKe8h,0,@BBCNews
-0.5859,Tue Jul 31 01:20:14 +0000 2018,0.226,0.774,0.0,England v India: Adil Rashid return 'a stab in the chest for county cricket' https://t.co/b7hSxAHK84,0,@BBCNews
-0.6908,Tue Jul 31 01:09:31 +0000 2018,0.402,0.598,0.0,UK man's rape conviction quashed in Sydney https://t.co/s0tgKoLw46,0,@BBCNews
0.0,Tue Jul 31 00:48:17 +0000 2018,0.0,1.0,0.0,In pictures: Behind the mask https://t.co/srsFQRz0da,0,@BBCNews
0.0,Tue Jul 31 00:37:54 +0000 2018,0.0,1.0,0.0,Women 'illegally buying abortion pill online' https://t.co/OAfddpLPOJ,0,@BBCNews
0.0,Tue Jul 31 00:22:55 +0000 2018,0.0,1.0,0.0,"Pupils unable to read is 'a scandal', says minister https://t.co/ng3nQZd61N",0,@BBCNews
-0.6369,Tue Jul 31 00:11:33 +0000 2018,0.344,0.656,0.0,"Sexual abuse 'endemic' in aid sector, say MPs https://t.co/eAEf02JI8B",0,@BBCNews
-0.6486,Mon Jul 30 23:15:51 +0000 2018,0.381,0.619,0.0,Tajikistan 'attack' leaves four foreign cyclists dead https://t.co/9PCue7xc88,0,@BBCNews
0.6369,Mon Jul 30 22:35:45 +0000 2018,0.0,0.656,0.344,Newspaper headlines: Love Island and the Manchester 'betrayal' https://t.co/fYAECjNWCE,0,@BBCNews
-0.1027,Mon Jul 30 22:05:18 +0000 2018,0.202,0.618,0.18,"Tuesday's Metro: ""Aid charities still shield sex abusers"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/GVHgRDAzLG",0,@BBCNews
0.8402,Mon Jul 30 21:48:51 +0000 2018,0.0,0.529,0.471,Love Island: Dani Dyer and Jack Fincham win ITV2 series https://t.co/2bCcKGJrpV,0,@BBCNews
-0.6486,Mon Jul 30 21:48:34 +0000 2018,0.316,0.549,0.135,"Tuesday's Guardian: ""Aid charities failing to tackle endemic sexual abuse, say MPs"" (via @AllieHBNews) #bbcpapers… https://t.co/aVGdnjfCAk",0,@BBCNews
-0.6705,Mon Jul 30 21:48:31 +0000 2018,0.273,0.727,0.0,"Tuesday's Mirror: ""Fortnite made me a suicidal drug addict"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/0jG7cofBXc",0,@BBCNews
-0.1027,Mon Jul 30 21:42:05 +0000 2018,0.097,0.903,0.0,"Tuesday's Times: ""UK warns Brussels of tit-for-tat over #Brexit"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/ApGHWKxOIL",0,@BBCNews
-0.2732,Mon Jul 30 21:42:01 +0000 2018,0.13,0.87,0.0,"Tuesday's Telegraph: ""Rail boss: our trains are envy of Europe"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/t2uS1sCtsv",0,@BBCNews
-0.5106,Mon Jul 30 21:41:55 +0000 2018,0.202,0.798,0.0,"Tuesday's Express: ""How dare he insult 17m #Brexit voters"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/Qd3zGLPUGD",0,@BBCNews
0.34,Mon Jul 30 21:41:48 +0000 2018,0.0,0.833,0.167,"Tuesday's i: ""End-of-life ruling is welcomed by families"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/qyourIBUKx",0,@BBCNews
0.2732,Mon Jul 30 21:41:40 +0000 2018,0.0,0.877,0.123,"Tuesday's FT: ""Barnier warms to May's #Brexit plan after clarification over City"" (via @AllieHBNews) #bbcpapers… https://t.co/zCmqZ0BO75",0,@BBCNews
-0.5574,Mon Jul 30 21:37:43 +0000 2018,0.265,0.735,0.0,James Gunn: Guardians of the Galaxy cast back fired director https://t.co/LobcR2ce9n,0,@BBCNews
-0.4215,Mon Jul 30 21:14:17 +0000 2018,0.318,0.682,0.0,Durex recalls condoms over split worries https://t.co/CM2ELjlgEp,0,@BBCNews
0.0,Mon Jul 30 20:43:11 +0000 2018,0.0,1.0,0.0,House of Fraser offered cash injection by Mike Ashley https://t.co/6wOTthfA6c,0,@BBCNews
0.3612,Mon Jul 30 19:55:17 +0000 2018,0.0,0.737,0.263,Trump says ready to meet Iran's Rouhani https://t.co/wVgHTepcXJ,0,@BBCNews
-0.802,Mon Jul 30 18:51:10 +0000 2018,0.506,0.494,0.0,Russia World Cup: Pussy Riot protesters detained on leaving jail https://t.co/Uz2cmL4Zzj,0,@BBCNews
-0.1779,Mon Jul 30 18:20:12 +0000 2018,0.333,0.388,0.279,Italy earthquake 'hero dog' found dead https://t.co/VLbC6Hb2LE,0,@BBCNews
-0.0516,Mon Jul 30 17:58:22 +0000 2018,0.13,0.87,0.0,EU piracy task force to leave UK post-Brexit https://t.co/CsgWWwjGlY,0,@BBCNews
